model name,TP,FP,TN,FN,accuracy,precision,recall,specificity,F1 score,F0.5 score,F0.75 score,b accuracy,AUC value inf,AUC value trn,mcc,log loss,kappa,fall out,miss rate,NPV,lr plus,lr minus,t70_bld_igg,nseq_bld_igg,t70_bld_pd1,nseq_bld_pd1,t70_bld_spt,nseq_bld_spt,t70_pln_igg,nseq_pln_igg,t70_pln_pd1,nseq_pln_pd1,t70_pln_spt,nseq_pln_spt,t70_panc_igg,nseq_panc_igg,t70_panc_pd1,nseq_panc_pd1,t70_panc_spt,nseq_panc_spt
IGRP_WF_13_Kf_tp8,8973,1168,12833,4896,0.7824183709999999,0.884823982,0.6469824789999999,0.916577387,0.747438567,0.8242242759999999,0.781410562,0.7817799329999999,0.8160713479999999,0.8,0.585678994,0.565996105,0.5642748670000001,0.08342261299999999,0.353017521,0.723842292,7.755480897000001,0.385147535,0.09186746987951808,664,0.08425414364640885,724,0.1395007342143906,681,0.03697875688434304,1271,0.1318181818181818,220,0.07965056526207605,1946,0.12536873156342182,1356,0.11172161172161173,1092,0.23660205245153934,1754
IGRP_WF_14_Kf_tp8,7451,645,13356,6418,0.746573376,0.920331028,0.53724133,0.953931862,0.678442977,0.805461268,0.732336834,0.745586596,0.8010859920000001,0.92,0.540946409,0.6095215039999999,0.492138862,0.046068138,0.46275867,0.675432386,11.66188505,0.48510663,0.05120481927710843,664,0.049723756906077346,724,0.1027900146842878,681,0.01888276947285602,1271,0.07727272727272727,220,0.05549845837615622,1946,0.07964601769911504,1356,0.10256410256410256,1092,0.21436716077537057,1754
IGRP_WF_15_Kf_tp8,8794,1396,12605,5075,0.767814855,0.8630029440000001,0.6340759970000001,0.900292836,0.7310362029999999,0.804883853,0.763736665,0.7671844170000001,0.807298835,1.0,0.554772595,0.6071534710000001,0.535037876,0.099707164,0.365924003,0.7129524890000001,6.359382544,0.406449978,0.11295180722891567,664,0.11187845303867404,724,0.16299559471365638,681,0.1054287962234461,1271,0.13636363636363635,220,0.10431654676258993,1946,0.1710914454277286,1356,0.13095238095238096,1092,0.2725199543899658,1754
IGRP_WF_16_Kf_tp8,7950,1178,12823,5919,0.7453534270000001,0.870946538,0.5732208520000001,0.915863153,0.69139453,0.7889879120000001,0.733749524,0.744542002,0.801102616,0.96,0.521062452,0.621171436,0.48987339799999996,0.08413684699999999,0.426779148,0.684185252,6.812958534,0.465985717,0.08885542168674698,664,0.08701657458563536,724,0.13656387665198239,681,0.06608969315499606,1271,0.11363636363636363,220,0.08067831449126413,1946,0.11430678466076696,1356,0.10714285714285714,1092,0.2491448118586089,1754
IGRP_WF_17_Kf_tp8,8915,1888,12113,4954,0.75450305,0.825233731,0.64280049,0.8651524890000001,0.722681582,0.780907832,0.7487343320000001,0.75397649,0.796353313,1.0,0.521284524,0.721573468,0.508482872,0.134847511,0.35719951,0.709732232,4.766869526,0.412874625,0.1566265060240964,664,0.10220994475138122,724,0.18208516886930984,681,0.22659323367427223,1271,0.15454545454545454,220,0.14131551901336073,1946,0.35914454277286134,1356,0.11446886446886446,1092,0.2879133409350057,1754
IGRP_WF_18_Kf_tp8,7630,830,13171,6239,0.746358091,0.901891253,0.5501478120000001,0.94071852,0.683416185,0.7996394809999999,0.7331434659999999,0.745433166,0.805678572,0.84,0.533786269,0.590155804,0.491770437,0.05928148,0.449852188,0.678567749,9.280264471,0.478200629,0.09789156626506024,664,0.05386740331491713,724,0.10719530102790015,681,0.04878048780487805,1271,0.06363636363636363,220,0.09763617677286741,1946,0.2883480825958702,1356,0.09340659340659341,1092,0.21949828962371723,1754
IGRP_WF_19_Kf_tp8,8835,1342,12659,5034,0.771223538,0.868134028,0.63703223,0.904149704,0.7348415540000001,0.809406893,0.7678522390000001,0.7705909670000001,0.804217383,1.0,0.561997995,0.639343219,0.541861904,0.095850296,0.36296777,0.7154806990000001,6.646116434,0.40144654,0.12198795180722892,664,0.07458563535911603,724,0.13509544787077826,681,0.04799370574350905,1271,0.11363636363636363,220,0.07297019527235354,1946,0.3023598820058997,1356,0.10714285714285714,1092,0.24743443557582667,1754
IGRP_WF_20_Kf_tp8,7479,1139,12862,6390,0.7298528879999999,0.867834764,0.539260221,0.918648668,0.665184329,0.773566951,0.71171905,0.7289544440000001,0.795675617,1.0,0.49538175100000004,0.693597055,0.45872761100000004,0.081351332,0.46073977899999996,0.6680864329999999,6.628781694,0.501540791,0.07228915662650602,664,0.06767955801104972,724,0.13656387665198239,681,0.06687647521636507,1271,0.09090909090909091,220,0.0698869475847893,1946,0.13053097345132744,1356,0.09065934065934066,1092,0.23603192702394526,1754
IGRP_WF_21_Kf_tp8,8501,1563,12438,5368,0.751309652,0.8446939590000001,0.612949744,0.888365117,0.7103998659999999,0.785311779,0.74349735,0.75065743,0.79486484,1.0,0.521848191,0.6639152460000001,0.5019640439999999,0.111634883,0.38705025600000004,0.6985285859999999,5.490664982,0.435688264,0.09789156626506024,664,0.09668508287292818,724,0.1776798825256975,681,0.18646734854445318,1271,0.09545454545454546,220,0.13103802672147996,1946,0.15117994100294985,1356,0.11538461538461539,1092,0.26795895096921324,1754
IGRP_WF_22_Kf_tp8,6584,431,13570,7285,0.723143165,0.9385602279999999,0.47472781,0.969216485,0.63053055,0.785136779,0.694336057,0.721972147,0.806436521,0.92,0.5114599670000001,0.658523139,0.444980928,0.030783515,0.52527219,0.6506832889999999,15.42149436,0.541955485,0.03463855421686747,664,0.04281767955801105,724,0.06607929515418502,681,0.03933910306845004,1271,0.05,220,0.04881808838643371,1946,0.08112094395280237,1356,0.07875457875457875,1092,0.16818700114025084,1754
