model name,t50_pln_pd1,t60_pln_pd1,t70_pln_pd1,t80_pln_pd1,t90_pln_pd1,nseq_pln_pd1
IGRP_WF_7_Kf_dist,0.290909091,0.227272727,0.172727273,0.136363636,0.090909091,220
IGRP_WF_80_Mc_dist,0.122727273,0.095454545,0.072727273,0.05,0.027272727,220
IGRP_WF_81_Mc_dist,0.195454545,0.172727273,0.122727273,0.086363636,0.059090909,220
IGRP_WF_82_Mc_dist,0.118181818,0.081818182,0.059090909,0.036363636,0.013636364,220
IGRP_WF_83_Mc_dist,0.236363636,0.181818182,0.131818182,0.086363636,0.068181818,220
IGRP_WF_84_Mc_dist,0.131818182,0.109090909,0.063636364,0.059090909,0.040909091,220
IGRP_WF_85_Mc_dist,0.140909091,0.095454545,0.077272727,0.045454545,0.009090909,220
IGRP_WF_86_Mc_dist,0.063636364,0.040909091,0.022727273,0.018181818,0.004545455,220
IGRP_WF_87_Mc_dist,0.213636364,0.159090909,0.118181818,0.068181818,0.031818182,220
IGRP_WF_88_Mc_dist,0.113636364,0.081818182,0.054545455,0.022727273,0.013636364,220
IGRP_WF_89_Mc_dist,0.213636364,0.154545455,0.127272727,0.090909091,0.063636364,220
IGRP_WF_8_Kf_dist,0.15,0.104545455,0.081818182,0.027272727,0.018181818,220
IGRP_WF_90_Mc_dist,0.131818182,0.104545455,0.063636364,0.031818182,0.018181818,220
IGRP_WF_91_Mc_dist,0.227272727,0.177272727,0.140909091,0.1,0.077272727,220
IGRP_WF_92_Mc_dist,0.131818182,0.109090909,0.081818182,0.059090909,0.036363636,220
IGRP_WF_93_Mc_dist,0.154545455,0.131818182,0.090909091,0.059090909,0.013636364,220
IGRP_WF_94_Mc_dist,0.068181818,0.059090909,0.045454545,0.013636364,0.004545455,220
IGRP_WF_95_Mc_dist,0.2,0.15,0.1,0.068181818,0.027272727,220
IGRP_WF_96_Mc_dist,0.122727273,0.086363636,0.068181818,0.013636364,0.009090909,220
IGRP_WF_9_Kf_dist,0.259090909,0.218181818,0.181818182,0.131818182,0.081818182,220
