model_name,TP (Kas_Gearty_no_cut)_rk,FP (Kas_Gearty_no_cut)_rk,TN (Kas_Gearty_no_cut)_rk,FN (Kas_Gearty_no_cut)_rk,accuracy (Kas_Gearty_no_cut)_rk,precision (Kas_Gearty_no_cut)_rk,recall (Kas_Gearty_no_cut)_rk,specificity (Kas_Gearty_no_cut)_rk,f1_score (Kas_Gearty_no_cut)_rk,b_accuracy (Kas_Gearty_no_cut)_rk,AUC_value_inf (Kas_Gearty_no_cut)_rk,AUC_value_trn (Kas_Gearty_no_cut)_rk,mcc (Kas_Gearty_no_cut)_rk,log_loss (Kas_Gearty_no_cut)_rk,kappa (Kas_Gearty_no_cut)_rk,fall_out (Kas_Gearty_no_cut)_rk,miss_rate (Kas_Gearty_no_cut)_rk,NPV (Kas_Gearty_no_cut)_rk,lr_plus (Kas_Gearty_no_cut)_rk,lr_minus (Kas_Gearty_no_cut)_rk
IGRP_WF_15_Kf_dist,50.0,31.0,66.0,47.0,56.0,73.0,50.0,66.0,51.0,57.0,40.0,1.0,67.0,74.0,57.0,31.0,47.0,51.0,73.0,46.0
IGRP_WF_16_Kf_dist,51.0,53.0,44.0,46.0,40.0,40.0,51.0,44.0,44.0,40.0,69.0,61.0,39.0,61.0,40.0,53.0,46.0,44.0,40.0,53.0
IGRP_WF_17_Kf_dist,11.0,13.0,83.0,86.0,22.0,77.0,11.0,83.0,19.0,21.0,85.0,1.0,28.0,1.0,22.0,13.0,86.0,18.0,77.0,79.0
IGRP_WF_18_Kf_dist,70.0,60.0,37.0,27.0,70.0,36.0,70.0,37.0,73.0,70.0,49.0,87.0,59.0,92.0,70.0,60.0,27.0,72.0,36.0,25.0
IGRP_WF_19_Kf_dist,20.0,42.0,55.0,77.0,13.0,46.0,20.0,55.0,18.0,13.0,54.0,1.0,12.0,46.0,13.0,42.0,77.0,19.0,46.0,78.0
IGRP_WF_20_Kf_dist,62.0,65.0,32.0,35.0,48.0,26.0,62.0,32.0,60.0,48.0,86.0,1.0,41.0,12.0,48.0,65.0,35.0,60.0,26.0,37.0
IGRP_WF_21_Kf_dist,67.0,43.0,54.0,30.0,73.0,58.0,67.0,54.0,72.0,73.0,90.0,1.0,73.0,23.0,73.0,43.0,30.0,73.0,58.0,24.0
IGRP_WF_22_Kf_dist,85.0,91.0,5.0,12.0,84.0,3.0,85.0,5.0,85.0,84.0,45.0,72.0,84.0,31.0,84.0,91.0,12.0,84.0,3.0,13.0
IGRP_WF_23_Kf_dist,82.0,93.0,4.0,15.0,81.0,1.0,82.0,4.0,81.0,81.0,55.0,84.0,75.0,53.0,81.0,93.0,15.0,81.0,1.0,16.0
IGRP_WF_24_Kf_dist,92.0,86.0,11.0,5.0,92.0,44.0,92.0,11.0,92.0,92.0,71.0,1.0,93.0,9.0,92.0,86.0,5.0,92.0,44.0,5.0
