model name,t50_bld_pd1,t60_bld_pd1,t70_bld_pd1,t80_bld_pd1,t90_bld_pd1,nseq_bld_pd1
IGRP_WF_33_Mc_add_dist,0.18646408839779005,0.15469613259668508,0.12430939226519337,0.08425414364640885,0.04558011049723757,724
IGRP_WF_34_Mc_add_dist,0.13674033149171272,0.10220994475138122,0.0787292817679558,0.055248618784530384,0.031767955801104975,724
IGRP_WF_35_Mc_add_dist,0.19889502762430938,0.17403314917127072,0.13397790055248618,0.10911602209944751,0.07044198895027624,724
IGRP_WF_36_Mc_add_dist,0.1270718232044199,0.10220994475138122,0.07734806629834254,0.049723756906077346,0.03314917127071823,724
IGRP_WF_37_Mc_add_dist,0.17955801104972377,0.14502762430939226,0.12016574585635359,0.0718232044198895,0.04419889502762431,724
IGRP_WF_38_Mc_add_dist,0.1270718232044199,0.09116022099447514,0.05386740331491713,0.03591160220994475,0.029005524861878452,724
IGRP_WF_39_Mc_add_dist,0.22790055248618785,0.17679558011049723,0.13535911602209943,0.10359116022099447,0.0718232044198895,724
IGRP_WF_3_Kf_add_dist,0.19060773480662985,0.15607734806629833,0.1270718232044199,0.09944751381215469,0.06767955801104972,724
IGRP_WF_40_Mc_add_dist,0.1464088397790055,0.11740331491712708,0.0787292817679558,0.05386740331491713,0.04143646408839779,724
IGRP_WF_41_Mc_add_dist,0.1685082872928177,0.13674033149171272,0.11464088397790055,0.08011049723756906,0.04558011049723757,724
IGRP_WF_42_Mc_add_dist,0.13259668508287292,0.10082872928176796,0.07044198895027624,0.04558011049723757,0.03038674033149171,724
IGRP_WF_43_Mc_add_dist,0.18232044198895028,0.16298342541436464,0.1298342541436464,0.09530386740331492,0.0649171270718232,724
IGRP_WF_44_Mc_add_dist,0.13674033149171272,0.11464088397790055,0.08149171270718232,0.049723756906077346,0.031767955801104975,724
IGRP_WF_45_Mc_add_dist,0.17403314917127072,0.14226519337016574,0.1132596685082873,0.07458563535911603,0.04558011049723757,724
IGRP_WF_46_Mc_add_dist,0.1464088397790055,0.11187845303867404,0.08701657458563536,0.04005524861878453,0.031767955801104975,724
IGRP_WF_47_Mc_add_dist,0.20303867403314918,0.16574585635359115,0.13259668508287292,0.09944751381215469,0.0649171270718232,724
IGRP_WF_48_Mc_add_dist,0.1505524861878453,0.12292817679558012,0.0856353591160221,0.05110497237569061,0.03729281767955801,724
IGRP_WF_49_Mc_add_dist,0.17541436464088397,0.14226519337016574,0.11878453038674033,0.0787292817679558,0.05110497237569061,724
IGRP_WF_4_Kf_add_dist,0.13121546961325967,0.09944751381215469,0.08977900552486189,0.05662983425414365,0.04005524861878453,724
IGRP_WF_50_Mc_add_dist,0.12569060773480664,0.09806629834254144,0.06353591160220995,0.03867403314917127,0.03038674033149171,724
IGRP_WF_51_Mc_add_dist,0.20027624309392264,0.15883977900552487,0.13950276243093923,0.11740331491712708,0.0856353591160221,724
IGRP_WF_52_Mc_add_dist,0.13812154696132597,0.11187845303867404,0.08425414364640885,0.055248618784530384,0.03867403314917127,724
IGRP_WF_53_Mc_add_dist,0.18370165745856354,0.13812154696132597,0.10911602209944751,0.07320441988950276,0.04696132596685083,724
IGRP_WF_54_Mc_add_dist,0.1270718232044199,0.08287292817679558,0.05939226519337017,0.03729281767955801,0.027624309392265192,724
IGRP_WF_55_Mc_add_dist,0.19889502762430938,0.16022099447513813,0.12569060773480664,0.10497237569060773,0.06906077348066299,724
IGRP_WF_56_Mc_add_dist,0.13674033149171272,0.10497237569060773,0.07044198895027624,0.052486187845303865,0.03729281767955801,724
IGRP_WF_57_Mc_add_dist,0.17541436464088397,0.14502762430939226,0.10911602209944751,0.07596685082872928,0.04696132596685083,724
IGRP_WF_58_Mc_add_dist,0.1298342541436464,0.09392265193370165,0.06767955801104972,0.05662983425414365,0.03867403314917127,724
IGRP_WF_59_Mc_add_dist,0.18232044198895028,0.1643646408839779,0.13674033149171272,0.10220994475138122,0.0649171270718232,724
IGRP_WF_5_Kf_add_dist,0.20027624309392264,0.1505524861878453,0.10773480662983426,0.08011049723756906,0.052486187845303865,724
IGRP_WF_60_Mc_add_dist,0.13121546961325967,0.10220994475138122,0.07596685082872928,0.04834254143646409,0.03314917127071823,724
IGRP_WF_61_Mc_add_dist,0.1781767955801105,0.13812154696132597,0.11464088397790055,0.07320441988950276,0.04419889502762431,724
IGRP_WF_62_Mc_add_dist,0.1132596685082873,0.07596685082872928,0.05939226519337017,0.04419889502762431,0.029005524861878452,724
IGRP_WF_63_Mc_add_dist,0.18922651933701656,0.16022099447513813,0.12154696132596685,0.0925414364640884,0.06077348066298342,724
IGRP_WF_64_Mc_add_dist,0.15331491712707182,0.12292817679558012,0.0925414364640884,0.04558011049723757,0.03591160220994475,724
IGRP_WF_65_Mc_add_dist,0.20718232044198895,0.17403314917127072,0.11878453038674033,0.08287292817679558,0.05110497237569061,724
IGRP_WF_66_Mc_add_dist,0.09392265193370165,0.07734806629834254,0.052486187845303865,0.04419889502762431,0.023480662983425413,724
IGRP_WF_67_Mc_add_dist,0.20303867403314918,0.17541436464088397,0.14502762430939226,0.10220994475138122,0.06767955801104972,724
IGRP_WF_68_Mc_add_dist,0.12292817679558012,0.08977900552486189,0.07044198895027624,0.052486187845303865,0.03038674033149171,724
