model_name,TP (Kas_Gearty_no_cut)_rk,FP (Kas_Gearty_no_cut)_rk,TN (Kas_Gearty_no_cut)_rk,FN (Kas_Gearty_no_cut)_rk,accuracy (Kas_Gearty_no_cut)_rk,precision (Kas_Gearty_no_cut)_rk,recall (Kas_Gearty_no_cut)_rk,specificity (Kas_Gearty_no_cut)_rk,f1_score (Kas_Gearty_no_cut)_rk,b_accuracy (Kas_Gearty_no_cut)_rk,AUC_value_inf (Kas_Gearty_no_cut)_rk,AUC_value_trn (Kas_Gearty_no_cut)_rk,mcc (Kas_Gearty_no_cut)_rk,log_loss (Kas_Gearty_no_cut)_rk,kappa (Kas_Gearty_no_cut)_rk,fall_out (Kas_Gearty_no_cut)_rk,miss_rate (Kas_Gearty_no_cut)_rk,NPV (Kas_Gearty_no_cut)_rk,lr_plus (Kas_Gearty_no_cut)_rk,lr_minus (Kas_Gearty_no_cut)_rk
IGRP_WF_66_Mc_add_dist,90.0,88.0,9.0,7.0,57.0,12.0,90.0,9.0,87.0,58.0,38.0,1.0,41.0,71.0,58.0,88.0,7.0,90.0,12.0,7.0
IGRP_WF_67_Mc_add_dist,8.0,4.0,93.0,89.0,83.0,93.0,8.0,93.0,63.0,82.0,7.0,1.0,84.0,15.0,82.0,4.0,89.0,42.0,93.0,55.0
IGRP_WF_68_Mc_add_dist,64.0,75.0,22.0,33.0,13.0,23.0,64.0,22.0,22.0,13.0,56.0,1.0,14.0,50.0,13.0,75.0,33.0,41.0,23.0,56.0
IGRP_WF_69_Mc_add_dist,44.0,50.0,47.0,53.0,38.0,47.0,44.0,47.0,34.0,38.0,66.0,1.0,39.0,43.0,38.0,50.0,53.0,27.0,47.0,70.0
IGRP_WF_70_Mc_add_dist,91.0,93.0,4.0,6.0,24.0,2.0,91.0,4.0,79.0,25.0,57.0,1.0,6.0,34.0,25.0,93.0,6.0,83.0,2.0,14.0
IGRP_WF_71_Mc_add_dist,39.0,42.0,54.0,58.0,51.0,55.0,39.0,54.0,43.0,51.0,46.0,1.0,55.0,77.0,51.0,42.0,58.0,31.0,55.0,66.0
IGRP_WF_72_Mc_add_dist,75.0,86.0,11.0,22.0,2.0,9.0,75.0,11.0,11.0,2.0,68.0,1.0,1.0,35.0,2.0,86.0,22.0,38.0,9.0,59.0
IGRP_WF_73_Mc_add_dist,20.0,13.0,84.0,77.0,78.0,84.0,20.0,84.0,67.0,78.0,17.0,1.0,80.0,19.0,78.0,13.0,77.0,61.0,84.0,36.0
IGRP_WF_74_Mc_add_dist,87.0,73.0,24.0,10.0,69.0,33.0,87.0,24.0,89.0,69.0,12.0,1.0,60.0,57.0,69.0,73.0,10.0,89.0,33.0,8.0
IGRP_WF_75_Mc_add_dist,11.0,3.0,94.0,86.0,88.0,94.0,11.0,94.0,68.0,87.0,28.0,1.0,89.0,11.0,87.0,3.0,86.0,53.0,94.0,44.0
IGRP_WF_76_Mc_add_dist,69.0,66.0,31.0,28.0,28.0,30.0,69.0,31.0,45.0,28.0,18.0,1.0,28.0,42.0,28.0,66.0,28.0,64.0,30.0,33.0
IGRP_WF_77_Mc_add_dist,38.0,41.0,56.0,59.0,50.0,56.0,38.0,56.0,41.0,50.0,30.0,1.0,54.0,63.0,50.0,41.0,59.0,29.0,56.0,68.0
IGRP_WF_78_Mc_add_dist,88.0,89.0,8.0,9.0,46.0,10.0,88.0,8.0,82.0,47.0,49.0,1.0,32.0,30.0,47.0,89.0,9.0,85.0,10.0,12.0
IGRP_WF_79_Mc_add_dist,17.0,26.0,71.0,80.0,60.0,70.0,17.0,71.0,47.0,60.0,15.0,1.0,65.0,54.0,60.0,26.0,80.0,20.0,70.0,77.0
IGRP_WF_80_Mc_add_dist,54.0,69.0,28.0,43.0,9.0,26.0,54.0,28.0,10.0,9.0,44.0,1.0,11.0,86.0,9.0,69.0,43.0,23.0,26.0,74.0
IGRP_WF_81_Mc_add_dist,30.0,14.0,83.0,67.0,81.0,85.0,30.0,83.0,73.0,81.0,47.0,1.0,82.0,23.0,81.0,14.0,67.0,69.0,85.0,28.0
IGRP_WF_82_Mc_add_dist,78.0,87.0,10.0,19.0,3.0,8.0,78.0,10.0,24.0,3.0,53.0,1.0,2.0,67.0,3.0,87.0,19.0,58.0,8.0,39.0
IGRP_WF_83_Mc_add_dist,21.0,9.0,88.0,75.0,85.0,88.0,21.0,88.0,72.0,85.0,36.0,1.0,87.0,27.0,85.0,9.0,75.0,67.0,88.0,30.0
