model name,t50_pln_pd1,t60_pln_pd1,t70_pln_pd1,t80_pln_pd1,t90_pln_pd1,nseq_pln_pd1
IGRP_WF_33_Mc_add_dist,0.2318181818181818,0.2,0.17272727272727273,0.13636363636363635,0.07272727272727272,220
IGRP_WF_34_Mc_add_dist,0.16363636363636364,0.11363636363636363,0.10454545454545454,0.06818181818181818,0.04090909090909091,220
IGRP_WF_35_Mc_add_dist,0.25,0.19090909090909092,0.16363636363636364,0.11363636363636363,0.09090909090909091,220
IGRP_WF_36_Mc_add_dist,0.1590909090909091,0.1409090909090909,0.10909090909090909,0.05909090909090909,0.031818181818181815,220
IGRP_WF_37_Mc_add_dist,0.21818181818181817,0.17272727272727273,0.13636363636363635,0.09545454545454546,0.06818181818181818,220
IGRP_WF_38_Mc_add_dist,0.1318181818181818,0.11818181818181818,0.07727272727272727,0.031818181818181815,0.022727272727272728,220
IGRP_WF_39_Mc_add_dist,0.2590909090909091,0.20909090909090908,0.1590909090909091,0.12272727272727273,0.07727272727272727,220
IGRP_WF_3_Kf_add_dist,0.23636363636363636,0.2,0.15,0.12272727272727273,0.07272727272727272,220
IGRP_WF_40_Mc_add_dist,0.15454545454545454,0.11818181818181818,0.1,0.07727272727272727,0.045454545454545456,220
IGRP_WF_41_Mc_add_dist,0.20909090909090908,0.16363636363636364,0.1409090909090909,0.1318181818181818,0.05909090909090909,220
IGRP_WF_42_Mc_add_dist,0.14545454545454545,0.11818181818181818,0.10454545454545454,0.05454545454545454,0.02727272727272727,220
IGRP_WF_43_Mc_add_dist,0.20909090909090908,0.17727272727272728,0.13636363636363635,0.10909090909090909,0.09545454545454546,220
IGRP_WF_44_Mc_add_dist,0.16818181818181818,0.13636363636363635,0.09545454545454546,0.06818181818181818,0.031818181818181815,220
IGRP_WF_45_Mc_add_dist,0.22727272727272727,0.17272727272727273,0.14545454545454545,0.09545454545454546,0.05,220
IGRP_WF_46_Mc_add_dist,0.17272727272727273,0.1409090909090909,0.08181818181818182,0.05,0.02727272727272727,220
IGRP_WF_47_Mc_add_dist,0.2318181818181818,0.18636363636363637,0.17272727272727273,0.12727272727272726,0.08636363636363636,220
IGRP_WF_48_Mc_add_dist,0.16818181818181818,0.1409090909090909,0.10454545454545454,0.07272727272727272,0.04090909090909091,220
IGRP_WF_49_Mc_add_dist,0.22272727272727272,0.17272727272727273,0.14545454545454545,0.09090909090909091,0.06818181818181818,220
IGRP_WF_4_Kf_add_dist,0.1590909090909091,0.14545454545454545,0.11818181818181818,0.06818181818181818,0.03636363636363636,220
IGRP_WF_50_Mc_add_dist,0.1409090909090909,0.10909090909090909,0.07727272727272727,0.04090909090909091,0.02727272727272727,220
