model_name,training_type,folds,weight_by_class,test_size,LOO,kernel,size_of_net,num_concepts,num_fc_layers,units_fc,num_agg_layers,units_agg,epochs_min,combine_train_valid,train_loss_min,hinge_loss_t,accuracy_min,qualitative_agg,quantitative_agg,drop_out_rate,multisample_dropout,multisample_dropout_rate,subsample,subsample_valid_test,l2_reg
IGRP_WF_58_Mc_add_dist,Monte Carlo,20,False,0.2,2,5,medium,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_59_Mc_add_dist,Monte Carlo,20,False,0.2,2,5,medium,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_60_Mc_add_dist,Monte Carlo,20,False,0.2,2,5,medium,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_61_Mc_add_dist,Monte Carlo,20,False,0.2,2,5,small,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_62_Mc_add_dist,Monte Carlo,20,False,0.2,2,5,small,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_63_Mc_add_dist,Monte Carlo,20,False,0.2,2,5,small,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_64_Mc_add_dist,Monte Carlo,20,False,0.2,2,5,small,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_65_Mc_add_dist,Monte Carlo,20,True,0.2,1,3,medium,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_66_Mc_add_dist,Monte Carlo,20,True,0.2,1,3,medium,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_67_Mc_add_dist,Monte Carlo,20,True,0.2,1,3,medium,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_68_Mc_add_dist,Monte Carlo,20,True,0.2,1,3,medium,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_69_Mc_add_dist,Monte Carlo,20,True,0.2,1,3,small,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_70_Mc_add_dist,Monte Carlo,20,True,0.2,1,3,small,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_71_Mc_add_dist,Monte Carlo,20,True,0.2,1,3,small,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_72_Mc_add_dist,Monte Carlo,20,True,0.2,1,3,small,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_73_Mc_add_dist,Monte Carlo,20,True,0.2,1,5,medium,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_74_Mc_add_dist,Monte Carlo,20,True,0.2,1,5,medium,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_75_Mc_add_dist,Monte Carlo,20,True,0.2,1,5,medium,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_76_Mc_add_dist,Monte Carlo,20,True,0.2,1,5,medium,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_77_Mc_add_dist,Monte Carlo,20,True,0.2,1,5,small,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_78_Mc_add_dist,Monte Carlo,20,True,0.2,1,5,small,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_79_Mc_add_dist,Monte Carlo,20,True,0.2,1,5,small,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_80_Mc_add_dist,Monte Carlo,20,True,0.2,1,5,small,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_81_Mc_add_dist,Monte Carlo,20,True,0.2,2,3,medium,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_82_Mc_add_dist,Monte Carlo,20,True,0.2,2,3,medium,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_83_Mc_add_dist,Monte Carlo,20,True,0.2,2,3,medium,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_84_Mc_add_dist,Monte Carlo,20,True,0.2,2,3,medium,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_85_Mc_add_dist,Monte Carlo,20,True,0.2,2,3,small,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_86_Mc_add_dist,Monte Carlo,20,True,0.2,2,3,small,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_87_Mc_add_dist,Monte Carlo,20,True,0.2,2,3,small,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_88_Mc_add_dist,Monte Carlo,20,True,0.2,2,3,small,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_89_Mc_add_dist,Monte Carlo,20,True,0.2,2,5,medium,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_90_Mc_add_dist,Monte Carlo,20,True,0.2,2,5,medium,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_91_Mc_add_dist,Monte Carlo,20,True,0.2,2,5,medium,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_92_Mc_add_dist,Monte Carlo,20,True,0.2,2,5,medium,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_93_Mc_add_dist,Monte Carlo,20,True,0.2,2,5,small,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_94_Mc_add_dist,Monte Carlo,20,True,0.2,2,5,small,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_95_Mc_add_dist,Monte Carlo,20,True,0.2,2,5,small,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_96_Mc_add_dist,Monte Carlo,20,True,0.2,2,5,small,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
